system:index,date,ndvi,.geo
20190906T032539_20190906T034254_T47NQD,2019-09-06,0.3284064839278389,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190906T032539_20190906T034254_T47NQE,2019-09-06,0.30339109388724256,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190911T032541_20190911T034449_T47NQD,2019-09-11,0.14053379999092538,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190911T032541_20190911T034449_T47NQE,2019-09-11,0.09752414450816826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190916T032539_20190916T034606_T47NQD,2019-09-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190916T032539_20190916T034606_T47NQE,2019-09-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190921T032541_20190921T034328_T47NQD,2019-09-21,0.24177898261586384,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190921T032541_20190921T034328_T47NQE,2019-09-21,0.16040211085491154,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190926T032539_20190926T033850_T47NQD,2019-09-26,0.4248395116733756,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190926T032539_20190926T033850_T47NQE,2019-09-26,0.382418964401349,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001T032541_20191001T034434_T47NQD,2019-10-01,0.622896541457227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001T032541_20191001T034434_T47NQE,2019-10-01,0.5797696434831827,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191006T032609_20191006T034350_T47NQD,2019-10-06,0.41364284178982924,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191006T032609_20191006T034350_T47NQE,2019-10-06,0.35955092885927326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011T032651_20191011T034152_T47NQD,2019-10-11,0.6556911475432269,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011T032651_20191011T034152_T47NQE,2019-10-11,0.6315104307548173,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191016T032719_20191016T034524_T47NQD,2019-10-16,0.7329505035017714,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191016T032719_20191016T034524_T47NQE,2019-10-16,0.7249772335818904,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191021T032751_20191021T033259_T47NQD,2019-10-21,0.3444386376784451,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191021T032751_20191021T033259_T47NQE,2019-10-21,0.3357977794626194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191026T032819_20191026T034646_T47NQD,2019-10-26,0.7318942038564802,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191026T032819_20191026T034646_T47NQE,2019-10-26,0.7257809071064624,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031T032851_20191031T033502_T47NQD,2019-10-31,0.7109193814868726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031T032851_20191031T033502_T47NQE,2019-10-31,0.7279295825801896,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191105T032919_20191105T034656_T47NQD,2019-11-05,0.6029119783940227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191105T032919_20191105T034656_T47NQE,2019-11-05,0.6032132243339563,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191110T032951_20191110T034152_T47NQD,2019-11-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191110T032951_20191110T034152_T47NQE,2019-11-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191115T033009_20191115T034503_T47NQD,2019-11-15,0.22337711305671049,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191115T033009_20191115T034503_T47NQE,2019-11-15,0.19510320562303277,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191120T033031_20191120T033655_T47NQD,2019-11-20,0.35396654870896915,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191120T033031_20191120T033655_T47NQE,2019-11-20,0.3762642206246017,"{""type"":""MultiPoint"",""coordinates"":[]}"
