system:index,date,soil_moisture,.geo
20200305,2020-03-05,0.24354235331217447,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200306,2020-03-06,0.30522600809733075,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200307,2020-03-07,0.3720906575520833,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200308,2020-03-08,0.32738176981608075,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200309,2020-03-09,0.30126698811848956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200310,2020-03-10,0.2908039093017578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200311,2020-03-11,0.3361186981201172,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200312,2020-03-12,0.34719594319661456,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313,2020-03-13,0.35739898681640625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200314,2020-03-14,0.31836382548014325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315,2020-03-15,0.3216177622477214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316,2020-03-16,0.3097209930419922,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200317,2020-03-17,0.2994848887125651,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200318,2020-03-18,0.30876922607421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200319,2020-03-19,0.32488568623860675,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320,2020-03-20,0.2930259704589844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200321,2020-03-21,0.2988503774007161,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200322,2020-03-22,0.33855628967285156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200323,2020-03-23,0.3757031758626302,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200324,2020-03-24,0.39646466573079425,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200325,2020-03-25,0.35304832458496094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200326,2020-03-26,0.33871014912923175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200327,2020-03-27,0.3326905568440755,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200328,2020-03-28,0.3146629333496094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200329,2020-03-29,0.3085212707519531,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200330,2020-03-30,0.2914886474609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331,2020-03-31,0.26276524861653644,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,2020-04-01,0.25803565979003906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200402,2020-04-02,0.3796641031901042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200403,2020-04-03,0.3554433186848958,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200404,2020-04-04,0.3499158223470052,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200405,2020-04-05,0.3736712137858073,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200406,2020-04-06,0.35632896423339844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200407,2020-04-07,0.3335914611816406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200408,2020-04-08,0.3098138173421224,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200409,2020-04-09,0.29257647196451825,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200410,2020-04-10,0.28496042887369794,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200411,2020-04-11,0.26300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200412,2020-04-12,0.2929871877034505,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200413,2020-04-13,0.3424383799235026,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200414,2020-04-14,0.3548088073730469,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200415,2020-04-15,0.33469263712565106,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200416,2020-04-16,0.35377947489420575,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200417,2020-04-17,0.3847471872965495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200418,2020-04-18,0.3757222493489583,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200419,2020-04-19,0.36170705159505206,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200420,2020-04-20,0.3348242441813151,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200421,2020-04-21,0.3257821400960286,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200422,2020-04-22,0.3670603434244792,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200423,2020-04-23,0.4031302134195964,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200424,2020-04-24,0.4034411112467448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200425,2020-04-25,0.4258581797281901,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200426,2020-04-26,0.4364795684814453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200427,2020-04-27,0.4211629231770833,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200428,2020-04-28,0.4384899139404297,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200429,2020-04-29,0.4354775746663411,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430,2020-04-30,0.4345410664876302,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,2020-05-01,0.4338003794352214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200502,2020-05-02,0.41610081990559894,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200503,2020-05-03,0.4211584726969401,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200504,2020-05-04,0.39463170369466144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200505,2020-05-05,0.4070580800374349,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200506,2020-05-06,0.4163748423258464,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200507,2020-05-07,0.4099445343017578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200508,2020-05-08,0.4062023162841797,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200509,2020-05-09,0.39315541585286456,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200510,2020-05-10,0.4121131896972656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200511,2020-05-11,0.4149157206217448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200512,2020-05-12,0.4141680399576823,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200513,2020-05-13,0.41596031188964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200514,2020-05-14,0.38300641377766925,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200515,2020-05-15,0.3691914876302083,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200516,2020-05-16,0.4180755615234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200517,2020-05-17,0.4295756022135417,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200518,2020-05-18,0.3993231455485026,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200519,2020-05-19,0.3778088887532552,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200520,2020-05-20,0.4188073476155599,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200521,2020-05-21,0.4033457438151042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200522,2020-05-22,0.4013252258300781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200523,2020-05-23,0.4206841786702474,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200524,2020-05-24,0.3977648417154948,"{""type"":""MultiPoint"",""coordinates"":[]}"
